,Food Name,Food Manufacturer,GI,Standard Serve Size,Carbohydrate per Serve,Glycemic Load,Country,Product Category,Year of Test,SEM,Time Period of Test,Number of Subjects in Test,Type of Subjects in Test,Source
2394,25 g glucose (Glucodex) consumed 40 min after 3 g American dried ginseng (Panax quinquefolius L.),"Rougier Inc.,  Chambly, Quebec",80,10,10,8,,"Sugars, Sweeteners and Syrups",2000,,2h,9,Type 2,"Vuksan V, Sievenpiper JL, Koo VYY, et al. American ginseng (Panax quinqefolius L.) reduces postprandial glycemia in nondiabetic subjects and subjects with type 2 diabetes. Arch Intern Med 2000; 160: 1009-13."
2395,"100 g Glucose consumed with 20 g cellulose (CSIR Biochemical Unit, New Delhi, India)","CSIR Biochemical Unit, India",103,10,10,10,India,"Sugars, Sweeteners and Syrups",0,5,2h,5,Normal,"Siddhu A, Sud S, Bijlani RL, Karmarkar MG, Nayar U. Modulation of postprandial glycaemia and insulinaemia by cellulose in mixed nutrient combinations. B J Nutr 1989; 62(1): 131-7."
2396,"30 g glucose consumed with 150 g grilled beefburger, 30 g cheese, 10 g butter (total meal contained 50 g carbohydrate)",,55,250,35,19,France,"Sugars, Sweeteners and Syrups",0,,3h,16,Type 2,"Le Floch JP, Baudin E, Escuyer P, Wirquin E, Nillus P, Perlemuter L. Influence of non-carbohydrate foods on glucose and insulin responses to carbohydrates of different glycaemic index in type 2 diabetic patients.  Diab Medicine 1992; 9: 44-8."
2397,"30 g glucose consumed with 150 g grilled beefburger, 30 g cheese, 10 g butter (total meal contained 50 g carbohydrate)",,57,250,35,20,France,"Sugars, Sweeteners and Syrups",0,,3h,14,Type 2,"Le Floch JP, Baudin E, Escuyer P, Wirquin E, Nillus P, Perlemuter L. Influence of non-carbohydrate foods on glucose and insulin responses to carbohydrates of different glycaemic index in type 2 diabetic patients.  Diab Medicine 1992; 9: 44-8."
2398,"25 g glucose consumed with 30 g oat bran flour (Natureal®  GI-flour, Finn Cereal, Vantaa, Finland)","Finn Cereal, Finland",80,10,10,8,Finland,"Sugars, Sweeteners and Syrups",0,,2h,12,Type 2,"Tapola N, Karvonen H, Niskanen L, Mikola M, Sarkkinen E. Glycemic responses of oat bran products in type 2 diabetic patients.  Nutr  Metab Cardiovasc Dis 2005; 15: 255-61."
2399,Locust honey ,,32,25,21,7,Romania,"Sugars, Sweeteners and Syrups",0,,2h,32,Type 2,"Ionescu-Tîrgoviste C, Popa E, Sîntu E, Mihalache N, Cheta D, Mincu I. Blood glucose and plasma insulin responses to various carbohydrates in Type 2 (Non-insulin-dependent) diabetes.  Diabetologia 1983; 24: 80-4."
2400,"Lactose, 50 g portion (Sigma Chemical Company, USA)","Sigma Chemical Company, USA",43,10,10,4,USA,"Sugars, Sweeteners and Syrups",0,,5h,7,Type 2,"Gannon MC, Nuttall FQ, Krezowski PA, Billington CJ, Parker S.  The serum insulin and plasma glucose responses to milk and fruit products in Type 2 (non-insulin-dependent) diabetic patients.  Diabetologia 1986; 29: 784-91."
2401,"Lactose, 25 g portion, fed with oats",,48,10,10,5,,"Sugars, Sweeteners and Syrups",0,,3h,6,Type 2,"Wolever TMS, Wong GS, Kenshole A, Josse RG, Thompson LU, Lam KY, Jenkins DJA. Lactose in the diabetic diet: A comparison with other carbohydrates. Nutr Res 1985; 5: 1335-45."
2402,"Sucrose, 50 g portion (Sigma Chemical Company, USA)","Sigma Chemical Company, USA",58,10,10,6,USA,"Sugars, Sweeteners and Syrups",0,,5h,7,Type 2,"Gannon MC, Nuttall FQ, Krezowski PA, Billington CJ, Parker S.  The serum insulin and plasma glucose responses to milk and fruit products in Type 2 (non-insulin-dependent) diabetic patients.  Diabetologia 1986; 29: 784-91."
2403,"Sucrose, 50 g portion",,59,10,10,6,,"Sugars, Sweeteners and Syrups",0,10,NS,5,Normal,"Jenkins DJA, Wolever TMS, Taylor RH, Barker H, Fielden H, Baldwin JM, Bowling AC, Newman HC, Jenkins AL, Goff DV. Glycemic index of foods: a physiological basis for carbohydrate exchange. Am J Clin Nutr 1981; 34: 362-6."
2404,"Sucrose, 50 g portion",,60,10,10,6,,"Sugars, Sweeteners and Syrups",0,,NS,NS,Type 2,"Schauberger G, Brinck UC, Guldner G, Spaethe R, Niklas L, Otto H.  Exchange of carbohydrates according to their effect on blood glucose.  Diabetes 1978; 26: 415 (abstr)."
2405,"Sucrose, 25 g portion, fed with oats",,64,10,10,6,,"Sugars, Sweeteners and Syrups",0,,3h,6,Type 2,"Wolever TMS, Wong GS, Kenshole A, Josse RG, Thompson LU, Lam KY, Jenkins DJA. Lactose in the diabetic diet: A comparison with other carbohydrates. Nutr Res 1985; 5: 1335-45."
2406,"Sucrose, 30 g portion",,82,10,10,8,,"Sugars, Sweeteners and Syrups",0,,2h,14,Type 2,"Bucalossi A, Conti A, Lombardo S, Marsilii A, Petruzzi E, Piazza E, Pulini M. Glycaemic and insulinaemic responses to different carbohydrates in Type II (NIDD) diabetic patients. Diab Nutr Metab 1990; 3: 143-51."
2407,"Sucrose, 25 g portion",,110,10,10,11,,"Sugars, Sweeteners and Syrups",0,21,3h,8,Normal,"Pelletier X, Hanesse B, Bornet F, Debry G.  Glycaemic and insulinaemic responses in healthy volunteers upon ingestion of maltitol and hydrogenated glucose syrups. Diabete & Metabolisme (Paris) 1994; 20: 291-6."
2408,"Isomalt (Sudzucker AG, Mannheim, Germany)","Sudzucker AG, Germany",2,10,10,0,Germany,"Sugars, Sweeteners and Syrups",0,1,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
2409,"Isomaltulose, Palatinose™ (Sudzucker AG, Mannheim, Germany)","Sudzucker AG, Germany",32,10,10,3,Germany,"Sugars, Sweeteners and Syrups",0,3,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
2410,"Lactitol, 25 g lactitol",,-1,10,10,0,,"Sugars, Sweeteners and Syrups",0,7,3h,8,Normal,"Natah SS, Hussien KR, Tuominem JA, Koivisto VA. Metabolic response to lactitol and xylitol in healthy men.  Am J Clin Nutr 1997; 65: 947-50."
2411,"25 g lactitol MC (Danisco sweeteners, Surrey, UK)","Danisco sweeteners, UK",3,10,10,0,UK,"Sugars, Sweeteners and Syrups",0,1,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
2412,"25 g Litesse II, bulking agent with polydextrose and sorbitol (Danisco Sweeteners, UK)","Danisco sweeteners, UK",7,10,10,1,UK,"Sugars, Sweeteners and Syrups",0,2,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
2413,"25 g Litesse III ultra, bulking agent with polydextrose and sorbitol (Danisco Sweeteners, UK)","Danisco sweeteners, UK",4,10,10,0,UK,"Sugars, Sweeteners and Syrups",0,2,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
2414,"Lycasin® HBC, syrup containing 50-55% maltitol, 5-8% sorbitol and 35-40% hydrogenated oligo-scaccharides (lab 2212, Roquette, France)",,47,10,10,5,France,"Sugars, Sweeteners and Syrups",0,10,3h,6,Normal,"Rizkalla SW, Luo J, Wils D, Bruzzo F, Slama G. Glycaemic and insulinaemic responses to a new hydrogenated starch hydrolysate in healthy and type 2 diabetic subjects.  Diabetes Metab (Paris), 2002, 28: 385-390."
2415,"Lycasin® HBC, syrup containing 50-55% maltitol, 5-8% sorbitol and 35-40% hydrogenated oligo-scaccharides (lab 2212, Roquette, France)",,25,10,10,2,France,"Sugars, Sweeteners and Syrups",0,6,3h,6,Type 2,"Rizkalla SW, Luo J, Wils D, Bruzzo F, Slama G. Glycaemic and insulinaemic responses to a new hydrogenated starch hydrolysate in healthy and type 2 diabetic subjects.  Diabetes Metab (Paris), 2002, 28: 385-390."
2416,"Maltitol, 50 g portion ",,26,10,10,3,Japan,"Sugars, Sweeteners and Syrups",0,,2h,16,Normal,Matsuo T. Estimation of glycemic response to maltitol and mixture of maltitol and sucrose in healthy young subjects. Tech Bull Fac Agr Kagawa Univ 2003; 55: 57-61.
2417,"25 g Malbit CR (87% maltitol) (Cerestar, Vilvoorde, Belgium)","Cerestar, Belgium",30,10,10,3,Belgium,"Sugars, Sweeteners and Syrups",0,12,3h,8,Normal,"Pelletier X, Hanesse B, Bornet F, Debry G.  Glycaemic and insulinaemic responses in healthy volunteers upon ingestion of maltitol and hydrogenated glucose syrups. Diabete & Metabolisme (Paris) 1994; 20: 291-6."
2418,"25 g Maltidex 100 (> 72% maltitol) (Cerestar, Vilvoorde, Belgium)","Cerestar, Belgium",44,10,10,4,Belgium,"Sugars, Sweeteners and Syrups",0,11,3h,8,Normal,"Pelletier X, Hanesse B, Bornet F, Debry G.  Glycaemic and insulinaemic responses in healthy volunteers upon ingestion of maltitol and hydrogenated glucose syrups. Diabete & Metabolisme (Paris) 1994; 20: 291-6."
2419,Maltitol and Sucrose mixture (25 g Maltitol +  25 g Sucrose),,46,10,10,5,Japan,"Sugars, Sweeteners and Syrups",0,,2h,19,Normal,Matsuo T. Estimation of glycemic response to maltitol and mixture of maltitol and sucrose in healthy young subjects. Tech Bull Fac Agr Kagawa Univ 2003; 55: 57-61.
2420,"25 g Malbit CH (99% maltitol) (Cerestar, Vilvoorde, Belgium)","Cerestar, Belgium",73,10,10,7,Belgium,"Sugars, Sweeteners and Syrups",0,29,3h,8,Normal,"Pelletier X, Hanesse B, Bornet F, Debry G.  Glycaemic and insulinaemic responses in healthy volunteers upon ingestion of maltitol and hydrogenated glucose syrups. Diabete & Metabolisme (Paris) 1994; 20: 291-6."
2421,"25 g Maltidex 200 (50% maltitol) (Cerestar, Vilvoorde, Belgium)","Cerestar, Belgium",89,10,10,9,Belgium,"Sugars, Sweeteners and Syrups",0,28,3h,8,Normal,"Pelletier X, Hanesse B, Bornet F, Debry G.  Glycaemic and insulinaemic responses in healthy volunteers upon ingestion of maltitol and hydrogenated glucose syrups. Diabete & Metabolisme (Paris) 1994; 20: 291-6."
2422,"Tagatose sugar replacement, Gaio® (Arla Foods, Germany)","Arla Foods, Germany",3,10,10,0,Germany,"Sugars, Sweeteners and Syrups",0,1,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
2423,25 g Xylitol,,7,10,10,1,,"Sugars, Sweeteners and Syrups",0,7,3h,8,Normal,"Natah SS, Hussien KR, Tuominem JA, Koivisto VA. Metabolic response to lactitol and xylitol in healthy men.  Am J Clin Nutr 1997; 65: 947-50."
2424,"25 g  Xylitol C (Danisco Sweeteners, UK)","Danisco Sweeteners, UK",8,10,10,1,UK,"Sugars, Sweeteners and Syrups",0,2,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
2425,Broad beans,,79,80,11,9,Canada,Legumes and Nuts,0,16,2h,6,Normal,"Jenkins DJA, Wolever TMS, Taylor RH, Barker H, Fielden H, Baldwin JM, Bowling AC, Newman HC, Jenkins AL, Goff DV. Glycemic index of foods: a physiological basis for carbohydrate exchange. Am J Clin Nutr 1981; 34: 362-6."
2426,"Pea, cooked ",,35,80,15,5,Israel,Vegetable,0,4,2h,8,Gestational DM,"Lock DR, Bar-Eyal A, Voet H, Madar Z.  Glycemic indices of various foods given to pregnant diabetic subjects.  Obstet Gynecol 1988; 71: 180-2."
2427,"Pea, frozen, boiled ",,39,80,7,3,Canada,Vegetable,0,,NS,NS,Type 2,"Otto H, Niklas. Differences d'action sur la glycemie d'aliments contenant des hydrated de carbone: consequences pour le traitment dietetique du diabete sucre. (Differences in the action of foods containing carbohydrate on blood glucose levels: implications for the dietetic treatment of diabetes mellitus.) Cited by: Jenkins DJA, Wolever TMS, Jenkins AL. Starchy foods and glycemic index.  Diab Care 1988; 11: 149-59."
2428,"Sweet corn, cooked ",,52,150,33,17,Israel,Vegetable,0,7,2h,8,Gestational DM,"Lock DR, Bar-Eyal A, Voet H, Madar Z.  Glycemic indices of various foods given to pregnant diabetic subjects.  Obstet Gynecol 1988; 71: 180-2."
2429,Sweet corn ,,59,80,18,11,Canada,Vegetable,0,11,2h,5,Normal,"Jenkins DJA, Wolever TMS, Taylor RH, Barker H, Fielden H, Baldwin JM, Bowling AC, Newman HC, Jenkins AL, Goff DV. Glycemic index of foods: a physiological basis for carbohydrate exchange. Am J Clin Nutr 1981; 34: 362-6."
2430,"Sweet corn, boiled",,60,80,18,11,USA,Vegetable,0,,3h,,"Type 2, 5; IGT, 6","Crapo PA, Kolterman OG, Waldeck N, Reaven GM, Olefsky JM. Postprandial hormonal responses to different types of complex carbohydrate in individuals with impaired glucose tolerance. Am J Clin Nutr 1980; 33: 1723-8."
2431,"Sweet corn, whole kernel, diet-pack, Featherweight, canned, drained, heated",,46,80,14,6,USA,Vegetable,0,,3h,20,Type 2,"Crapo PA, Insel J, Sperling M, Kolterman OG.  Comparison of serum glucose, insulin, and glucagon responses to different types of complex carbohydrate in noninsulin-dependent diabetic patients.  Am J Clin Nutr 1981; 34: 184-90."
2432,"Sweet corn, frozen, heated in microwave (Green Giant, Pillsbury Canada Ltd., Toronto, Canada) ","Pillsbury Canada Ltd., Canada",47,80,15,7,Canada,Vegetable,0,,3h,9,Type 1 & 2,"Wolever TMS, Katzman-Relle L, Jenkins AL, Vuksan V, Josse RG, Jenkins DJA. Glycaemic index of 102 complex carbohydrate foods in patients with diabetes.  Nutr Res 1994; 14(5): 651-69."
2433,Beetroot ,,64,80,7,4,Canada,Vegetable,0,16,2h,5,"Normal, 5","Jenkins DJA, Wolever TMS, Taylor RH, Barker H, Fielden H, Baldwin JM, Bowling AC, Newman HC, Jenkins AL, Goff DV. Glycemic index of foods: a physiological basis for carbohydrate exchange. Am J Clin Nutr 1981; 34: 362-6."
2434,"Carrots, raw ",,16,80,8,1,Romania,Vegetable,0,,2h,30,Type 2,"Ionescu-Tîrgoviste C, Popa E, Sîntu E, Mihalache N, Cheta D, Mincu I. Blood glucose and plasma insulin responses to various carbohydrates in Type 2 (Non-insulin-dependent) diabetes.  Diabetologia 1983; 24: 80-4."
2435,"Carrots, type not specified",,92,80,6,6,Canada,Vegetable,0,20,2h,5,Normal,"Jenkins DJA, Wolever TMS, Taylor RH, Barker H, Fielden H, Baldwin JM, Bowling AC, Newman HC, Jenkins AL, Goff DV. Glycemic index of foods: a physiological basis for carbohydrate exchange. Am J Clin Nutr 1981; 34: 362-6."
2436,"Carrots, peeled, boiled, ground to smooth paste ",,60,80,6,4,Australia,Vegetable,0,17,2h,7,Normal,"Fitz-Henry A. In vitro and in vivo rates of carbohydrates digestion in Aboriginal bushfoods and contemporary Western Foods.  BSc thesis (Honours).  Human Nutrition Unit, University of Sydney, Australia, 1982."
2437,"Cassava, boiled, with salt ",,46,100,27,12,Kenya,Vegetable,0,,2.5h,14,Type 2,"Ayuo PO, Ettyang GA. Glycaemic Responses After Ingestion of Some Local Foods by non-insulin dependent diabetic subjects. East Afr Med J 1996; 73(12): 782-5."
2438,"Ontario potato, white, baked in skin ",,60,150,30,18,Canada,Vegetable,1994,,3h,16,Type 1 & 2,"Wolever TMS, Katzman-Relle L, Jenkins AL, Vuksan V, Josse RG, Jenkins DJA. Glycaemic index of 102 complex carbohydrate foods in patients with diabetes.  Nutr Res 1994; 14(5): 651-69."
2439,"Russet Burbank potatoes, baked without fat ",,56,150,30,17,Canada,Vegetable,0,,NS,7,Diabetic,"Wolever TMS, Kalmusky J, Guidici S, et al. Effect of processing/preparation on the blood glucose response to potatoes.  Can Inst Food Sci Technol J 1985; 18:35-6."
2440,"Russet Burbank potatoes, baked without fat, 45-60 min ",,78,150,30,23,USA,Vegetable,0,,3h,20,Type 2,"Crapo PA, Insel J, Sperling M, Kolterman OG.  Comparison of serum glucose, insulin, and glucagon responses to different types of complex carbohydrate in noninsulin-dependent diabetic patients.  Am J Clin Nutr 1981; 34: 184-90."
2441,"Russet Burbank potatoes, baked without fat ",,94,150,30,28,USA,Vegetable,0,,3h,,"Type 2, 5; IGT, 6","Crapo PA, Kolterman OG, Waldeck N, Reaven GM, Olefsky JM. Postprandial hormonal responses to different types of complex carbohydrate in individuals with impaired glucose tolerance. Am J Clin Nutr 1980; 33: 1723-8."
2442,"Desiree potato, peeled, quartered, boiled 15 min in unsalted water ",,77,150,17,13,UK,Vegetable,0,17,2h,10,Normal,"Henry CJK, Lightowler HJ, Strik CM, Storey M. Glycaemic index values for commercially available potatoes in Great Britain.  Br J Nutr 2005; 94: 917-21."
2443,"Maris Peer potato, peeled, quartered, boiled 15 min in unsalted water",,94,150,29,27,UK,Vegetable,0,16,2h,10,Normal,"Henry CJK, Lightowler HJ, Strik CM, Storey M. Glycaemic index values for commercially available potatoes in Great Britain.  Br J Nutr 2005; 94: 917-21."
2444,"Nardine potato, boiled ",,70,150,25,17,New Zealand,Vegetable,2000,17,2h,8,Normal,"Perry T, Mann J, Mehalski K, Gayya C, Wilson J, Thompson C. Glycaemic index of New Zealand foods. NZ Med J 2000; 113:140-42."
2445,"Ontario potato, white, peeled, cut into cubes, boiled in salted water 15 min",,58,150,27,16,Canada,Vegetable,1994,,3h,16,Type 1 & 2,"Wolever TMS, Katzman-Relle L, Jenkins AL, Vuksan V, Josse RG, Jenkins DJA. Glycaemic index of 102 complex carbohydrate foods in patients with diabetes.  Nutr Res 1994; 14(5): 651-69."
2446,"Prince Edward Island potato, peeled, cubed, boiled in salted water 15 min",,63,150,18,11,Canada,Vegetable,0,,3h,12,Type 1 & 2,"Wolever TMS, Katzman-Relle L, Jenkins AL, Vuksan V, Josse RG, Jenkins DJA. Glycaemic index of 102 complex carbohydrate foods in patients with diabetes.  Nutr Res 1994; 14(5): 651-69."
2447,"Potato, type not specified, cooked",,24,150,28,7,Kenya,Vegetable,0,,2.5h,14,Type 2,"Ayuo PO, Ettyang GA. Glycaemic Responses After Ingestion of Some Local Foods by non-insulin dependent diabetic subjects. East Afr Med J 1996; 73(12): 782-5."
2448,"White potato, cooked ",,41,150,30,12,Romania,Vegetable,1983,,2h,30,Type 2,"Ionescu-Tîrgoviste C, Popa E, Sîntu E, Mihalache N, Cheta D, Mincu I. Blood glucose and plasma insulin responses to various carbohydrates in Type 2 (Non-insulin-dependent) diabetes.  Diabetologia 1983; 24: 80-4."
2449,Potatoes boiled,,49,150,30,15,Germany,Vegetable,0,,NS,NS,Diabetic,"Schauberger G, Brinck UC, Guldner G, Spaethe R, Niklas L, Otto H.  Exchange of carbohydrates according to their effect on blood glucose.  Diabetes 1978; 26: 415 (abstr)."
2450,"White potato, boiled",,54,150,27,15,Canada,Vegetable,1985,,NS,7,Diabetic,"Wolever TMS, Kalmusky J, Guidici S, et al. Effect of processing/preparation on the blood glucose response to potatoes.  Can Inst Food Sci Technol J 1985; 18:35-6."
2451,"Potato, type not specified, boiled 19 min ",,56,150,19,11,Denmark,Vegetable,0,,3h,6,Type 2,"Rasmussen O, Winther E, Arnfred J, Hermansen K. Comparison of blood glucose and insulin responses in non-insulin-dependent diabetic patients. Studies with spaghetti and potato taken alone or as part of a meal.  Eur J Clin Nutr 1988; 42: 953-61."
2452,"Potato, white, cooked ",,61,150,26,16,Italy,Vegetable,1985,,5h,7,Type 2,"Parillo M, Giacco R, Riccardi G, Pacioni D, Rivellese A. Different glycaemic responses to pasta, bread, and potatoes in diabetic patients. Diabet Med 1985, 2: 374-7."
2453,"Potato, type not specified, peeled, boiled",,85,150,30,26,Lebanon,Vegetable,0,,3h,,"Normal, 5, IR, 4","Najjar N, Adra N, Hwalla N.  Glycemic and insulinemic responses to hot vs cooled potato in males with varied insulin sensitivity.  Nutr Res 2004; 24: 993-1004."
2454,"Potato, type not specified, peeled, boiled and then cooled to 26oC ",,54,150,30,16,Lebanon,Vegetable,0,,3h,,"Normal, 5, IR, 4","Najjar N, Adra N, Hwalla N.  Glycemic and insulinemic responses to hot vs cooled potato in males with varied insulin sensitivity.  Nutr Res 2004; 24: 993-1004."
2455,"Prince Edward Island, canned potato, heated in microwave (Avon, Cobi Foods Inc., Port Williams, Canada) ","Cobi Foods Inc., Canada",61,150,18,11,Canada,Vegetable,0,,3h,9,Type 1 & 2,"Wolever TMS, Katzman-Relle L, Jenkins AL, Vuksan V, Josse RG, Jenkins DJA. Glycaemic index of 102 complex carbohydrate foods in patients with diabetes.  Nutr Res 1994; 14(5): 651-69."
2456,"French fries, frozen, reheated in microwave (Cavendish Farms, New Annan, Canada)","Cavendish Farms, Canada",75,150,29,22,Canada,Vegetable,0,,3h,6,Type 1 & 2,"Wolever TMS, Katzman-Relle L, Jenkins AL, Vuksan V, Josse RG, Jenkins DJA. Glycaemic index of 102 complex carbohydrate foods in patients with diabetes.  Nutr Res 1994; 14(5): 651-69."
2457,Instant Mashed potato,,74,150,20,15,France,Vegetable,1987,12,3h,3,Type 2,"Bornet FRJ, Costagliola D, Rizkalla SW, Blayo A, Fontvieille A-M, Haardt M-J, Letanoux M, Tchobroutsky G, Slama G. Insulinemic and glycemic indexes of six starch-rich foods taken alone and in a mixed meal by type 2 diabetics. Am J Clin Nutr 1987; 45: 588-95."
2458,"Instant Mashed potato (Carnation Foods Co. Ltd., Manitoba, Canada)","Carnation Foods Co. Ltd., Canada",86,150,20,17,Canada,Vegetable,1994,,3h,16,Type 1 & 2,"Wolever TMS, Katzman-Relle L, Jenkins AL, Vuksan V, Josse RG, Jenkins DJA. Glycaemic index of 102 complex carbohydrate foods in patients with diabetes.  Nutr Res 1994; 14(5): 651-69."
2459,Instant Mashed potato,,88,150,20,18,Canada,Vegetable,1985,,NS,7,Diabetic,"Wolever TMS, Kalmusky J, Guidici S, et al. Effect of processing/preparation on the blood glucose response to potatoes.  Can Inst Food Sci Technol J 1985; 18:35-6."
2460,"Instant Mashed potato, with 10 g margarine",,95,150,18,17,UK,Vegetable,2008,16,2h,10,Normal,"Aston LM, Gambell JM, Lee DM, Bryant SP, Jebb SA.  Determination of the glycaemic index of various staple carbohydrate-rich foods in the UK diet.  Euro J Clin Nutr 2008, 62: 279-285."
2461,"Mashed potato,type not specified",,67,150,20,13,Canada,Vegetable,0,,NS,7,Diabetic,"Wolever TMS, Kalmusky J, Guidici S, et al. Effect of processing/preparation on the blood glucose response to potatoes.  Can Inst Food Sci Technol J 1985; 18:35-6."
2462,"Ontario potato, white, peeled, cubed, boiled 15 min, mashed ",,73,150,27,20,Canada,Vegetable,1994,,3h,14,Type 1 & 2,"Wolever TMS, Katzman-Relle L, Jenkins AL, Vuksan V, Josse RG, Jenkins DJA. Glycaemic index of 102 complex carbohydrate foods in patients with diabetes.  Nutr Res 1994; 14(5): 651-69."
2463,"Prince Edward Island potato, peeled, cubed, boiled 15 min mashed ",,73,150,18,13,Canada,Vegetable,0,,3h,14,Type 1 & 2,"Wolever TMS, Katzman-Relle L, Jenkins AL, Vuksan V, Josse RG, Jenkins DJA. Glycaemic index of 102 complex carbohydrate foods in patients with diabetes.  Nutr Res 1994; 14(5): 651-69."
2464,"Microwaved potato, type not specified",,82,150,33,27,USA,Vegetable,0,,3h,8,Type 2,"Krezowski PA, Nuttal FQ, Gannon MC, et al. Insulin and glucose responses to various starch-containing foods in type II diabetic subjects.  Diab Care 1987; 10: 205-12."
2465,New potato,,47,150,21,10,Canada,Vegetable,1988,,NS,NS,Diabetic,"Otto H, Niklas. Differences d'action sur la glycemie d'aliments contenant des hydrated de carbone: consequences pour le traitment dietetique du diabete sucre. (Differences in the action of foods containing carbohydrate on blood glucose levels: implications for the dietetic treatment of diabetes mellitus.) Cited by: Jenkins DJA, Wolever TMS, Jenkins AL. Starchy foods and glycemic index.  Diab Care 1988; 11: 149-59."
2466,New potato,,54,150,21,11,Canada,Vegetable,1983,,3h,6,Type 2," Jenkins DJA, Wolever TMS, Jenkins AL, Thorne MJ, Lee R, Kalmusky J, Reichert R, Wong GS. The glycaemic index of foods tested in diabetic patients: a new basis for carbohydrate exchange favouring the use of legumes. Diabetologia 1983; 24: 257-64."
2467,"Steamed potato dumplings (60% white potatoes, 40% white wheat flour, boiled in salted water), consumed with olive oil, tomato sauce and parmesan cheese",,52,150,45,23,Italy,Vegetable,2001,,3h,8,Type 2,"Giacco R, Brighenti F, Parillo M, Capuano M, Ciardullo AV, Rivieccio A, Rivellese AA, Riccardi G. Characteristics of some wheat-based foods of the Italian diet in relation to their influence on postprandial glucose metabolism in type 2 diabetic patients. Br J Nutr 2001; 85: 33-40."
2468,"Sweet potato, type not specified",,48,150,34,16,Canada,Vegetable,1981,6,2h,5,Normal,"Jenkins DJA, Wolever TMS, Taylor RH, Barker H, Fielden H, Baldwin JM, Bowling AC, Newman HC, Jenkins AL, Goff DV. Glycemic index of foods: a physiological basis for carbohydrate exchange. Am J Clin Nutr 1981; 34: 362-6."
2469,"Sweet potato, peeled, cubed, boiled in salted water 15 min",,59,150,30,18,Canada,Vegetable,1994,,3h,13,Type 1 & 2,"Wolever TMS, Katzman-Relle L, Jenkins AL, Vuksan V, Josse RG, Jenkins DJA. Glycaemic index of 102 complex carbohydrate foods in patients with diabetes.  Nutr Res 1994; 14(5): 651-69."
2470,"Sweet potato, kumara ",,78,150,25,19,New Zealand,Vegetable,2000,6,2h,14,Type 2,"Perry T, Mann J, Mehalski K, Gayya C, Wilson J, Thompson C. Glycaemic index of New Zealand foods. NZ Med J 2000; 113:140-42."
2471,Swede (rutabaga) ,,72,150,10,7,Canada,Vegetable,0,8,2h,5,Normal,"Jenkins DJA, Wolever TMS, Taylor RH, Barker H, Fielden H, Baldwin JM, Bowling AC, Newman HC, Jenkins AL, Goff DV. Glycemic index of foods: a physiological basis for carbohydrate exchange. Am J Clin Nutr 1981; 34: 362-6."
2472,"Tapioca boiled with milk (General Mills Canada Inc., Etobicoke, Canada)","General Mills Canada Inc., Canada",81,250,18,14,Canada,Vegetable,0,,3h,10,Type 1 & 2,"Wolever TMS, Katzman-Relle L, Jenkins AL, Vuksan V, Josse RG, Jenkins DJA. Glycaemic index of 102 complex carbohydrate foods in patients with diabetes.  Nutr Res 1994; 14(5): 651-69."
2473,"Tapioca, boiled ",,93,250,18,17,India,Vegetable,0,2,2h,6,Type 2,"Vijayan L, Sumathi S. Glycaemic response to selected Kerala breakfast items in people with diabetes. Asia Pacific J Clin Nutr 1997; 6(2): 80-3."
2474,"Yam, peeled, boiled ",,25,150,36,9,New Zealand,Vegetable,0,4,2h,13,Type 2,"Perry T, Mann J, Mehalski K, Gayya C, Wilson J, Thompson C. Glycaemic index of New Zealand foods. NZ Med J 2000; 113:140-42."
2475,Yam ,,51,150,36,18,Canada,Vegetable,0,12,2h,5,Normal,"Jenkins DJA, Wolever TMS, Taylor RH, Barker H, Fielden H, Baldwin JM, Bowling AC, Newman HC, Jenkins AL, Goff DV. Glycemic index of foods: a physiological basis for carbohydrate exchange. Am J Clin Nutr 1981; 34: 362-6."
2476,"Cassava, boiled, with salt",,46,100,27,12,Kenya,Vegetable,0,,2.5h,14,Type 2,"Walker ARP, Walker BF. Glycaemic index of South African foods determined in rural blacks - a population at low risk of diabetes.  Hum Nutr Clin Nutr 1984; 38C: 215-22."
2477,"Ga Kenkey, prepared from fermented cornmeal  (Zea mays)",,44,150,41,18,Ghana,Traditional Foods,0,6,2h,9,Type 2,"Quaye IKE, Brakohiapa LA, Amoah GAB, Ayi-Ankrah N, Kido Y. Acute effects of five Ghanaian carbohydrate diets on serum glucose, triglyceride and insulin in NIDDM. Asia Pacific J Clin Nutr 1999; 8(1): 32-5."
